buffer size, number of tokens, const latency ms, latency ns
10, 30, 15, 380526358
10, 30, 15, 338532728
10, 30, 15, 294610541
10, 30, 15, 355501779
10, 30, 15, 355758826
10, 40, 15, 326881466
10, 40, 15, 477066498
10, 40, 15, 498566158
10, 40, 15, 509042986
10, 40, 15, 495263793
10, 40, 15, 479673585
10, 40, 15, 519329038
10, 40, 15, 457038631
10, 40, 15, 541980830
10, 40, 15, 503503597
10, 50, 15, 486178810
10, 50, 15, 626981484
10, 50, 15, 655425414
10, 50, 15, 634665077
10, 50, 15, 678196001
10, 50, 15, 602770251
10, 50, 15, 706141620
10, 50, 15, 649174151
10, 50, 15, 661975060
10, 50, 15, 623225132
5, 10, 15, 20018714
5, 10, 15, 23907279
5, 10, 15, 26520107
5, 10, 15, 30508765
5, 10, 15, 17586114
5, 10, 15, 25975375
5, 10, 15, 18459392
5, 10, 15, 26303264
5, 10, 15, 23420534
5, 20, 15, 25687901
5, 20, 15, 162133351
5, 20, 15, 184020860
5, 20, 15, 180961995
5, 20, 15, 188210953
5, 20, 15, 147964010
5, 20, 15, 191301255
5, 20, 15, 170206341
5, 20, 15, 147178934
5, 20, 15, 179583693
5, 30, 15, 197791373
5, 30, 15, 334939424
5, 30, 15, 348363292
5, 30, 15, 347066034
5, 30, 15, 316133596
5, 30, 15, 304000691
5, 30, 15, 343840951
5, 30, 15, 332647272
5, 30, 15, 296939091
5, 30, 15, 346350471
5, 40, 15, 345860807
5, 40, 15, 474162710
5, 40, 15, 483760145
5, 40, 15, 516567036
5, 40, 15, 483749272
5, 40, 15, 486924086
5, 40, 15, 467216564
5, 40, 15, 510541262
5, 40, 15, 447166146
5, 40, 15, 530951623
5, 50, 15, 501136003
5, 50, 15, 649852949
5, 50, 15, 652791647
5, 50, 15, 662479367
5, 50, 15, 627076960
5, 50, 15, 641217612
5, 50, 15, 645065508
5, 50, 15, 657237027
5, 50, 15, 640073861
5, 50, 15, 663816821
5, 10, 2, 4761942
5, 10, 2, 4078049
5, 10, 2, 4493692
5, 10, 2, 4813799
5, 10, 2, 5075447
5, 10, 2, 4883137
5, 10, 2, 3446406
5, 10, 2, 5306014
5, 10, 2, 5289149
5, 20, 2, 4858657
5, 20, 2, 27502835
5, 20, 2, 28449687
5, 20, 2, 28064784
5, 20, 2, 31026613
5, 20, 2, 24882363
5, 20, 2, 30613390
5, 20, 2, 26025444
5, 20, 2, 27738968
5, 20, 2, 28521466
5, 30, 2, 28188513
5, 30, 2, 51017021
5, 30, 2, 50919346
5, 30, 2, 46008248
5, 30, 2, 55458611
5, 30, 2, 50474334
5, 30, 2, 50444161
5, 30, 2, 48595666
5, 30, 2, 52908251
5, 30, 2, 48747226
5, 40, 2, 50124970
5, 40, 2, 74255991
5, 40, 2, 72308351
5, 40, 2, 68933908
5, 40, 2, 76428867
5, 40, 2, 79207528
5, 40, 2, 76345804
5, 40, 2, 77678385
5, 40, 2, 70037054
5, 40, 2, 73835095
5, 50, 2, 71426745
5, 50, 2, 91721690
5, 50, 2, 96470670
5, 50, 2, 93700440
5, 50, 2, 102044284
5, 50, 2, 102181248
5, 50, 2, 94101432
5, 50, 2, 94306583
5, 50, 2, 92922391
5, 50, 2, 91539454
10, 10, 2, 4607065
10, 10, 2, 4436963
10, 10, 2, 4020183
10, 10, 2, 5336799
10, 10, 2, 4783559
10, 10, 2, 5016299
10, 10, 2, 4695415
10, 10, 2, 4640149
10, 10, 2, 3998514
10, 20, 2, 5278203
10, 20, 2, 30125489
10, 20, 2, 22924470
10, 20, 2, 26832532
10, 20, 2, 22662527
10, 20, 2, 27794959
10, 20, 2, 24798744
10, 20, 2, 27594868
10, 20, 2, 27112810
10, 20, 2, 22071717
10, 30, 2, 28388697
10, 30, 2, 48204267
10, 30, 2, 47674515
10, 30, 2, 51646725
10, 30, 2, 48213045
10, 30, 2, 54244780
10, 30, 2, 50190352
10, 30, 2, 53606083
10, 30, 2, 54991809
10, 30, 2, 45685302
10, 40, 2, 52279234
10, 40, 2, 70005909
10, 40, 2, 59592244
10, 40, 2, 72266084
10, 40, 2, 66651147
10, 40, 2, 73705804
10, 40, 2, 76446190
10, 40, 2, 81038035
10, 40, 2, 67862799
10, 40, 2, 68004610
10, 50, 2, 73443886
10, 50, 2, 101921960
10, 50, 2, 86528784
10, 50, 2, 96662546
10, 50, 2, 92014378
10, 50, 2, 91858572
10, 50, 2, 104024600
10, 50, 2, 99409242
10, 50, 2, 96712525
10, 50, 2, 98082453
20, 10, 2, 5144471
20, 10, 2, 4672042
20, 10, 2, 4949871
20, 10, 2, 5118205
20, 10, 2, 3554904
20, 10, 2, 4840337
20, 10, 2, 4589944
20, 10, 2, 4743338
20, 10, 2, 4067113
20, 20, 2, 4406580
20, 20, 2, 25380149
20, 20, 2, 27211948
20, 20, 2, 28484855
20, 20, 2, 28000226
20, 20, 2, 27952530
20, 20, 2, 27663941
20, 20, 2, 27804560
